epoch	lr	TrainLoss	Clean_TestMAE	Clean_TestMSE
286	0.001	0.00695	0.0645	0.00778
287	0.001	0.00696	0.0645	0.00777
288	0.001	0.00695	0.0652	0.00789
289	0.001	0.00695	0.0644	0.00775
290	0.001	0.00694	0.0647	0.00779
291	0.001	0.00692	0.0658	0.00801
292	0.001	0.00692	0.0636	0.00761
293	0.001	0.00691	0.0642	0.0077
294	0.001	0.00697	0.0673	0.00824
295	0.001	0.00689	0.0634	0.00756
296	0.001	0.0069	0.0642	0.00771
297	0.001	0.00688	0.0648	0.0078
298	0.001	0.00692	0.0639	0.00767
299	0.001	0.00688	0.0639	0.00766
300	0.001	0.00689	0.0645	0.00775
301	0.001	0.00687	0.0639	0.00766
302	0.001	0.00692	0.0639	0.00764
303	0.001	0.00687	0.064	0.00764
304	0.001	0.00687	0.0643	0.00771
305	0.001	0.00685	0.0637	0.00759
306	0.001	0.00685	0.0638	0.0076
307	0.001	0.00685	0.0639	0.00762
308	0.001	0.00685	0.0639	0.00763
309	0.001	0.00687	0.0635	0.00756
310	0.001	0.00682	0.0636	0.00758
311	0.001	0.00682	0.0633	0.00751
312	0.001	0.0068	0.0662	0.00803
313	0.001	0.00682	0.0634	0.00755
314	0.001	0.0068	0.0641	0.00766
315	0.001	0.00682	0.0639	0.00762
316	0.001	0.0068	0.0634	0.00752
317	0.001	0.00679	0.064	0.00764
318	0.001	0.00682	0.0632	0.00749
319	0.001	0.0068	0.0638	0.00761
320	0.001	0.0068	0.0634	0.00752
321	0.001	0.00676	0.0629	0.00746
322	0.001	0.00678	0.0648	0.00776
323	0.001	0.00677	0.0644	0.0077
324	0.001	0.00676	0.0629	0.00743
325	0.001	0.00676	0.0632	0.00748
326	0.001	0.00676	0.0653	0.00784
327	0.001	0.00675	0.0647	0.00775
328	0.001	0.00677	0.0633	0.00751
329	0.001	0.00673	0.0632	0.00749
330	0.001	0.00674	0.0629	0.00742
331	0.001	0.00675	0.0644	0.00765
332	0.001	0.0067	0.0642	0.00765
333	0.001	0.00674	0.0652	0.00783
334	0.001	0.0067	0.0634	0.0075
335	0.001	0.00669	0.0628	0.00738
336	0.001	0.0067	0.0631	0.00742
337	0.001	0.00668	0.0639	0.00758
338	0.001	0.0067	0.0632	0.00747
339	0.001	0.00667	0.0631	0.00743
340	0.001	0.00672	0.0646	0.0077
341	0.001	0.00666	0.0626	0.00736
342	0.001	0.00667	0.0628	0.00739
343	0.001	0.00665	0.0647	0.00776
344	0.001	0.00671	0.0628	0.00741
345	0.001	0.00664	0.0634	0.0075
346	0.001	0.0067	0.064	0.00761
347	0.001	0.00663	0.0629	0.0074
348	0.001	0.00664	0.0663	0.00818
349	0.001	0.00674	0.0626	0.00734
350	0.001	0.0066	0.0628	0.00737
351	0.001	0.00662	0.0631	0.00742
352	0.001	0.00661	0.0624	0.0073
353	0.001	0.0066	0.0623	0.00729
354	0.001	0.00659	0.0627	0.00735
355	0.001	0.00659	0.0619	0.00722
356	0.001	0.00661	0.063	0.0074
357	0.001	0.00663	0.0643	0.00763
358	0.001	0.00656	0.063	0.00742
359	0.001	0.00656	0.0627	0.00734
360	0.001	0.00656	0.0626	0.00729
361	0.001	0.00655	0.0623	0.00727
362	0.001	0.00661	0.0634	0.00746
363	0.001	0.00653	0.0625	0.00731
364	0.001	0.00654	0.0621	0.00722
365	0.001	0.00654	0.0622	0.00725
366	0.001	0.00653	0.0626	0.00731
367	0.001	0.00649	0.0631	0.00739
368	0.001	0.00653	0.0629	0.00735
369	0.001	0.0065	0.0627	0.00731
370	0.001	0.00652	0.0622	0.00724
371	0.001	0.00649	0.0633	0.00742
372	0.001	0.00654	0.0618	0.00718
373	0.001	0.00648	0.0632	0.0074
374	0.001	0.00649	0.0632	0.00739
375	0.001	0.00649	0.0632	0.00738
376	0.001	0.00649	0.0626	0.00728
377	0.001	0.0065	0.063	0.00738
378	0.001	0.00652	0.063	0.00737
379	0.001	0.00654	0.0617	0.00713
380	0.001	0.00649	0.062	0.00718
381	0.001	0.00648	0.0628	0.00736
382	0.001	0.00645	0.0622	0.00722
383	0.001	0.00656	0.0622	0.00722
384	0.001	0.00651	0.0624	0.00725
385	0.001	0.00647	0.0619	0.00715
386	0.001	0.00645	0.0623	0.00724
